ticker,metric,unit,period,value,raw
AGG,Tỷ suất sinh lợi trên doanh thu thuần,%,Q2/2025,42.43,42.43
AGG,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q2/2024,0.82,0.82
AGG,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q3/2024,0.78,0.78
AGG,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q4/2024,1.52,1.52
AGG,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q1/2025,0.33,0.33
AGG,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q2/2025,2.53,2.53
AGG,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q2/2024,0.31,0.31
AGG,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q3/2024,0.32,0.32
AGG,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q4/2024,0.67,0.67
AGG,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q1/2025,0.15,0.15
AGG,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q2/2025,1.22,1.22
AGG,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q2/2024,1.61,1.61
AGG,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q3/2024,1.8,1.8
AGG,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q4/2024,1.81,1.81
AGG,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q1/2025,0.91,0.91
AGG,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q2/2025,0.88,0.88
AGG,Khả năng thanh toán lãi vay,Lần,Q2/2024,1.08,1.08
AGG,Khả năng thanh toán lãi vay,Lần,Q3/2024,2.67,2.67
AGG,Khả năng thanh toán lãi vay,Lần,Q4/2024,-0.34,-0.34
AGG,Khả năng thanh toán lãi vay,Lần,Q1/2025,1.57,1.57
AGG,Khả năng thanh toán lãi vay,Lần,Q2/2025,5.14,5.14
AGG,Tỷ số Nợ trên Tổng tài sản,%,Q2/2024,62.28,62.28
AGG,Tỷ số Nợ trên Tổng tài sản,%,Q3/2024,56.75,56.75
AGG,Tỷ số Nợ trên Tổng tài sản,%,Q4/2024,55.41,55.41
AGG,Tỷ số Nợ trên Tổng tài sản,%,Q1/2025,54.66,54.66
AGG,Tỷ số Nợ trên Tổng tài sản,%,Q2/2025,48.89,48.89
AGG,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q2/2024,39.81,39.81
AGG,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q3/2024,33.25,33.25
AGG,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q4/2024,45.17,45.17
AGG,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q1/2025,45.09,45.09
AGG,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q2/2025,38.14,38.14
BCM,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q2/2024,2673.55,"2,673.55"
BCM,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q3/2024,2796.28,"2,796.28"
BCM,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q4/2024,2138.14,"2,138.14"
BCM,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q1/2025,2370.17,"2,370.17"
BCM,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q2/2025,3419.05,"3,419.05"
BCM,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q2/2024,19157.0,"19,157"
BCM,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q3/2024,19392.0,"19,392"
BCM,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q4/2024,19787.0,"19,787"
BCM,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q1/2025,20333.0,"20,333"
BCM,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q2/2025,20688.0,"20,688"
BCM,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q2/2024,23.86,23.86
BCM,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q3/2024,25.1,25.1
BCM,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q4/2024,33.16,33.16
BCM,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q1/2025,31.56,31.56
BCM,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q2/2025,18.78,18.78
BCM,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q2/2024,3.33,3.33
BCM,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q3/2024,3.62,3.62
BCM,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q4/2024,3.58,3.58
BCM,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q1/2025,3.68,3.68
BCM,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q2/2025,3.1,3.1
BCM,Tỷ suất lợi nhuận gộp biên,%,Q2/2024,60.21,60.21
BCM,Tỷ suất lợi nhuận gộp biên,%,Q3/2024,68.61,68.61
BCM,Tỷ suất lợi nhuận gộp biên,%,Q4/2024,67.0,67
BCM,Tỷ suất lợi nhuận gộp biên,%,Q1/2025,38.22,38.22
BCM,Tỷ suất lợi nhuận gộp biên,%,Q2/2025,71.77,71.77
BCM,Tỷ suất sinh lợi trên doanh thu thuần,%,Q2/2024,33.92,33.92
BCM,Tỷ suất sinh lợi trên doanh thu thuần,%,Q3/2024,29.57,29.57
BCM,Tỷ suất sinh lợi trên doanh thu thuần,%,Q4/2024,77.02,77.02
BCM,Tỷ suất sinh lợi trên doanh thu thuần,%,Q1/2025,19.84,19.84
BCM,Tỷ suất sinh lợi trên doanh thu thuần,%,Q2/2025,58.23,58.23
BCM,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q2/2024,1.93,1.93
BCM,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q3/2024,1.73,1.73
BCM,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q4/2024,6.76,6.76
BCM,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q1/2025,1.72,1.72
BCM,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q2/2025,6.91,6.91
BCM,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q2/2024,0.7,0.7
BCM,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q3/2024,0.63,0.63
BCM,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q4/2024,2.42,2.42
BCM,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q1/2025,0.61,0.61
BCM,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q2/2025,2.52,2.52
BCM,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q2/2024,1.28,1.28
BCM,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q3/2024,1.35,1.35
BCM,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q4/2024,1.48,1.48
BCM,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q1/2025,1.46,1.46
BCM,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q2/2025,1.4,1.4
BCM,Khả năng thanh toán lãi vay,Lần,Q2/2024,1.98,1.98
BCM,Khả năng thanh toán lãi vay,Lần,Q3/2024,2.11,2.11
BCM,Khả năng thanh toán lãi vay,Lần,Q4/2024,5.79,5.79
BCM,Khả năng thanh toán lãi vay,Lần,Q1/2025,2.28,2.28
BCM,Khả năng thanh toán lãi vay,Lần,Q2/2025,6.26,6.26
BCM,Tỷ số Nợ trên Tổng tài sản,%,Q2/2024,63.97,63.97
BCM,Tỷ số Nợ trên Tổng tài sản,%,Q3/2024,63.13,63.13
BCM,Tỷ số Nợ trên Tổng tài sản,%,Q4/2024,65.16,65.16
BCM,Tỷ số Nợ trên Tổng tài sản,%,Q1/2025,64.51,64.51
BCM,Tỷ số Nợ trên Tổng tài sản,%,Q2/2025,62.62,62.62
BCM,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q2/2024,107.3,107.3
BCM,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q3/2024,102.96,102.96
BCM,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q4/2024,115.37,115.37
BCM,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q1/2025,111.13,111.13
BCM,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q2/2025,104.3,104.3
CRE,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q2/2024,37.23,37.23
CRE,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q3/2024,67.78,67.78
CRE,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q4/2024,90.01,90.01
CRE,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q1/2025,79.77,79.77
CRE,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q2/2025,147.08,147.08
CRE,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q2/2024,12148.0,"12,148"
CRE,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q3/2024,12186.0,"12,186"
CRE,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q4/2024,12209.0,"12,209"
CRE,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q1/2025,12221.0,"12,221"
CRE,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q2/2025,12310.0,"12,310"
CRE,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q2/2024,214.86,214.86
CRE,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q3/2024,102.09,102.09
CRE,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q4/2024,86.65,86.65
CRE,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q1/2025,85.25,85.25
CRE,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q2/2025,57.18,57.18
CRE,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q2/2024,0.66,0.66
CRE,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q3/2024,0.57,0.57
CRE,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q4/2024,0.64,0.64
CRE,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q1/2025,0.56,0.56
CRE,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q2/2025,0.68,0.68
CRE,Tỷ suất lợi nhuận gộp biên,%,Q2/2024,18.45,18.45
CRE,Tỷ suất lợi nhuận gộp biên,%,Q3/2024,20.09,20.09
CRE,Tỷ suất lợi nhuận gộp biên,%,Q4/2024,23.19,23.19
CRE,Tỷ suất lợi nhuận gộp biên,%,Q1/2025,29.69,29.69
CRE,Tỷ suất lợi nhuận gộp biên,%,Q2/2025,29.09,29.09
CRE,Tỷ suất sinh lợi trên doanh thu thuần,%,Q2/2024,2.6,2.6
CRE,Tỷ suất sinh lợi trên doanh thu thuần,%,Q3/2024,4.88,4.88
CRE,Tỷ suất sinh lợi trên doanh thu thuần,%,Q4/2024,2.83,2.83
CRE,Tỷ suất sinh lợi trên doanh thu thuần,%,Q1/2025,2.03,2.03
CRE,Tỷ suất sinh lợi trên doanh thu thuần,%,Q2/2025,11.85,11.85
CRE,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q2/2024,0.15,0.15
CRE,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q3/2024,0.25,0.25
CRE,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q4/2024,0.2,0.2
CRE,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q1/2025,0.05,0.05
CRE,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q2/2025,0.7,0.7
CRE,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q2/2024,0.12,0.12
CRE,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q3/2024,0.2,0.2
CRE,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q4/2024,0.16,0.16
CRE,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q1/2025,0.04,0.04
CRE,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q2/2025,0.54,0.54
CRE,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q2/2024,3.19,3.19
CRE,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q3/2024,3.07,3.07
CRE,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q4/2024,2.8,2.8
CRE,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q1/2025,3.09,3.09
CRE,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q2/2025,2.94,2.94
CRE,Khả năng thanh toán lãi vay,Lần,Q2/2024,1.67,1.67
CRE,Khả năng thanh toán lãi vay,Lần,Q3/2024,2.17,2.17
CRE,Khả năng thanh toán lãi vay,Lần,Q4/2024,1.39,1.39
CRE,Khả năng thanh toán lãi vay,Lần,Q1/2025,1.23,1.23
CRE,Khả năng thanh toán lãi vay,Lần,Q2/2025,3.57,3.57
CRE,Tỷ số Nợ trên Tổng tài sản,%,Q2/2024,20.9,20.9
CRE,Tỷ số Nợ trên Tổng tài sản,%,Q3/2024,22.28,22.28
CRE,Tỷ số Nợ trên Tổng tài sản,%,Q4/2024,21.24,21.24
CRE,Tỷ số Nợ trên Tổng tài sản,%,Q1/2025,22.26,22.26
CRE,Tỷ số Nợ trên Tổng tài sản,%,Q2/2025,23.04,23.04
CRE,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q2/2024,13.98,13.98
CRE,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q3/2024,14.25,14.25
CRE,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q4/2024,16.72,16.72
CRE,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q1/2025,18.92,18.92
CRE,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q2/2025,18.87,18.87
DIG,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q2/2024,151.68,151.68
DIG,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q3/2024,135.42,135.42
DIG,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q4/2024,172.15,172.15
DIG,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q1/2025,306.35,306.35
DIG,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q2/2025,178.35,178.35
DIG,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q2/2024,12936.0,"12,936"
DIG,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q3/2024,13035.0,"13,035"
DIG,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q4/2024,13228.0,"13,228"
DIG,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q1/2025,13089.0,"13,089"
DIG,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q2/2025,12422.0,"12,422"
DIG,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q2/2024,175.04,175.04
DIG,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q3/2024,171.32,171.32
DIG,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q4/2024,109.79,109.79
DIG,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q1/2025,64.79,64.79
DIG,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q2/2025,99.24,99.24
DIG,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q2/2024,2.05,2.05
DIG,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q3/2024,1.78,1.78
DIG,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q4/2024,1.43,1.43
DIG,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q1/2025,1.52,1.52
DIG,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q2/2025,1.42,1.42
DIG,Tỷ suất lợi nhuận gộp biên,%,Q2/2024,24.79,24.79
DIG,Tỷ suất lợi nhuận gộp biên,%,Q3/2024,9.17,9.17
DIG,Tỷ suất lợi nhuận gộp biên,%,Q4/2024,39.33,39.33
DIG,Tỷ suất lợi nhuận gộp biên,%,Q1/2025,19.12,19.12
DIG,Tỷ suất lợi nhuận gộp biên,%,Q2/2025,38.97,38.97
DIG,Tỷ suất sinh lợi trên doanh thu thuần,%,Q2/2024,15.24,15.24
DIG,Tỷ suất sinh lợi trên doanh thu thuần,%,Q3/2024,23.74,23.74
DIG,Tỷ suất sinh lợi trên doanh thu thuần,%,Q4/2024,19.58,19.58
DIG,Tỷ suất sinh lợi trên doanh thu thuần,%,Q1/2025,-29.73,-29.73
DIG,Tỷ suất sinh lợi trên doanh thu thuần,%,Q2/2025,19.02,19.02
DIG,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q2/2024,1.61,1.61
DIG,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q3/2024,0.09,0.09
DIG,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q4/2024,1.11,1.11
DIG,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q1/2025,-0.44,-0.44
DIG,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q2/2025,0.61,0.61
DIG,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q2/2024,0.7,0.7
DIG,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q3/2024,0.04,0.04
DIG,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q4/2024,0.48,0.48
DIG,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q1/2025,-0.19,-0.19
DIG,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q2/2025,0.26,0.26
DIG,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q2/2024,2.04,2.04
DIG,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q3/2024,2.13,2.13
DIG,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q4/2024,2.08,2.08
DIG,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q1/2025,1.96,1.96
DIG,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q2/2025,2.0,2
DIG,Khả năng thanh toán lãi vay,Lần,Q2/2024,15.5,15.5
DIG,Khả năng thanh toán lãi vay,Lần,Q3/2024,0.47,0.47
DIG,Khả năng thanh toán lãi vay,Lần,Q4/2024,-8.64,-8.64
DIG,Khả năng thanh toán lãi vay,Lần,Q1/2025,-0.62,-0.62
DIG,Khả năng thanh toán lãi vay,Lần,Q2/2025,89.34,89.34
DIG,Tỷ số Nợ trên Tổng tài sản,%,Q2/2024,57.23,57.23
DIG,Tỷ số Nợ trên Tổng tài sản,%,Q3/2024,56.21,56.21
DIG,Tỷ số Nợ trên Tổng tài sản,%,Q4/2024,56.48,56.48
DIG,Tỷ số Nợ trên Tổng tài sản,%,Q1/2025,57.79,57.79
DIG,Tỷ số Nợ trên Tổng tài sản,%,Q2/2025,57.62,57.62
DIG,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q2/2024,54.82,54.82
DIG,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q3/2024,46.28,46.28
DIG,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q4/2024,47.72,47.72
DIG,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q1/2025,41.97,41.97
DIG,Tỷ số Nợ vay trên Vốn chủ sở hữu,%,Q2/2025,41.93,41.93
DXG,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q2/2024,274.75,274.75
DXG,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q3/2024,208.52,208.52
DXG,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q4/2024,355.68,355.68
DXG,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q1/2025,367.97,367.97
DXG,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q2/2025,417.41,417.41
DXG,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q2/2024,21594.0,"21,594"
DXG,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q3/2024,21694.0,"21,694"
DXG,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q4/2024,21095.0,"21,095"
DXG,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q1/2025,19616.0,"19,616"
DXG,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q2/2025,21713.0,"21,713"
DXG,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q2/2024,58.24,58.24
DXG,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q3/2024,80.09,80.09
DXG,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q4/2024,43.86,43.86
DXG,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q1/2025,42.94,42.94
DXG,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q2/2025,40.49,40.49
DXG,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q2/2024,0.74,0.74
DXG,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q3/2024,0.77,0.77
DXG,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q4/2024,0.74,0.74
DXG,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q1/2025,0.81,0.81
DXG,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q2/2025,0.78,0.78
DXG,Tỷ suất lợi nhuận gộp biên,%,Q2/2024,47.84,47.84
DXG,Tỷ suất lợi nhuận gộp biên,%,Q3/2024,49.85,49.85
DXG,Tỷ suất lợi nhuận gộp biên,%,Q4/2024,50.25,50.25
DXG,Tỷ suất lợi nhuận gộp biên,%,Q1/2025,55.17,55.17
DXG,Tỷ suất lợi nhuận gộp biên,%,Q2/2025,45.55,45.55
DXG,Tỷ suất sinh lợi trên doanh thu thuần,%,Q2/2024,8.32,8.32
DXG,Tỷ suất sinh lợi trên doanh thu thuần,%,Q3/2024,7.22,7.22
DXG,Tỷ suất sinh lợi trên doanh thu thuần,%,Q4/2024,13.72,13.72
DXG,Tỷ suất sinh lợi trên doanh thu thuần,%,Q1/2025,8.49,8.49
DXG,Tỷ suất sinh lợi trên doanh thu thuần,%,Q2/2025,26.48,26.48
DXG,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q2/2024,0.21,0.21
DXG,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q3/2024,0.2,0.2
DXG,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q4/2024,1.02,1.02
DXG,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q1/2025,0.3,0.3
DXG,Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),%,Q2/2025,0.47,0.47
DXG,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q2/2024,0.11,0.11
DXG,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q3/2024,0.11,0.11
DXG,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q4/2024,0.54,0.54
DXG,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q1/2025,0.15,0.15
DXG,Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),%,Q2/2025,0.25,0.25
DXG,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q2/2024,2.48,2.48
DXG,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q3/2024,2.59,2.59
DXG,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q4/2024,2.52,2.52
DXG,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q1/2025,2.35,2.35
DXG,Tỷ số thanh toán hiện hành (ngắn hạn),Lần,Q2/2025,3.05,3.05
